time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,Robot_ImpactVel_8,Robot_ImpactVel_9,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,Robot_CRI_8,Robot_CRI_9,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,Robot_modi_velocity_percentage8,Robot_modi_velocity_percentage9,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,Robot_PFLFlag_8,Robot_PFLFlag_9,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
32.000000,0.000000,64.307968,129.533283,84.276762,226.873127,242.809382,276.537187,277.340448,276.779508,275.902986,0.000000,0.255590,0.377911,0.152822,0.203523,0.463396,0.526923,0.463855,0.626167,0.717648,300.000000,300.000000,300.000000,300.000000,300.000000,270.936118,203.257991,233.140666,300.000000,223.517763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,277.340448,0.717648,203.257991,
33.000000,0.000000,84.478110,155.731947,94.980831,260.946023,282.647237,326.473207,327.743050,327.363621,326.043337,0.000000,0.293968,0.387622,0.173344,0.227025,0.494506,0.586749,0.550097,0.653853,0.755785,300.000000,300.000000,300.000000,300.000000,300.000000,235.964390,170.340995,193.377852,258.641092,185.082865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,327.743050,0.755785,170.340995,
34.000000,0.000000,38.704668,79.355772,52.616048,110.115527,121.151436,140.009404,139.070129,138.424231,139.271775,0.000000,0.188091,0.285238,0.094277,0.170608,0.329218,0.385285,0.230096,0.488079,0.564424,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140.009404,0.564424,300.000000,
35.000000,0.000000,11.768093,118.839357,110.433388,128.170272,134.719247,137.457032,141.987731,138.614356,133.419525,0.000000,0.096221,0.341996,0.114534,0.398260,0.362377,0.363791,0.223678,0.539274,0.610443,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.987731,0.610443,300.000000,
36.000000,0.000000,16.051611,175.392020,164.218986,207.770948,215.199278,221.483878,224.031221,218.763893,215.176766,0.000000,0.117286,0.405258,0.209248,0.465909,0.471648,0.424539,0.297635,0.655390,0.753579,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200.222831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,224.031221,0.753579,200.222831,
37.000000,0.000000,0.171698,1.978622,1.859713,1.999086,2.089860,2.104007,11.454285,11.445538,2.250953,0.000000,0.000104,0.046957,0.004333,0.048039,0.004878,0.051501,0.016578,0.144702,0.072815,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.454285,0.144702,300.000000,
38.000000,0.000000,0.861480,17.431636,16.831847,17.543379,18.015327,17.805598,45.262385,47.284532,20.439985,0.000000,0.026439,0.125739,0.026897,0.129387,0.044158,0.134563,0.071120,0.295590,0.247396,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.284532,0.295590,300.000000,
39.000000,0.000000,0.930907,16.907041,16.255066,17.100039,17.609014,17.484278,60.868924,62.958715,19.915282,0.000000,0.028840,0.124141,0.025946,0.127370,0.044352,0.133448,0.098030,0.345740,0.245453,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.958715,0.345740,300.000000,
40.000000,0.000000,0.891341,16.768031,16.139960,16.815068,17.309775,17.305718,59.204393,61.432976,19.823815,0.000000,0.027539,0.123994,0.025914,0.127598,0.037744,0.134016,0.095138,0.342057,0.245937,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.432976,0.342057,300.000000,
41.000000,0.000000,0.226941,10.695970,10.535462,56.584377,56.602950,60.083137,62.321066,63.351130,60.098778,0.000000,0.000619,0.091467,0.016645,0.078296,0.078576,0.000000,0.011362,0.235148,0.090613,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.351130,0.235148,300.000000,
