time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
5.500000,0.000000,0.016984,13.532219,13.515386,48.397645,48.676806,45.620457,61.001949,0.000000,0.000000,0.133444,0.140934,0.097888,0.099452,0.087829,0.068852,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.001949,0.140934,300.000000,
5.600000,0.000000,0.016984,4.883966,4.867138,19.320259,19.400098,18.354563,24.394843,0.000000,0.000000,0.076598,0.079757,0.077900,0.078687,0.064855,0.024928,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.394843,0.079757,300.000000,
5.700000,0.000000,0.250034,0.769973,0.522922,2.484962,2.433957,2.420673,3.509843,0.000000,0.000507,0.029192,0.013918,0.027100,0.016044,0.015602,0.008873,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.509843,0.029192,300.000000,
5.800000,0.000000,3.268366,3.003570,0.972134,5.710745,5.820587,8.477466,7.901968,0.000000,0.071673,0.067109,0.039005,0.075729,0.089261,0.102095,0.019176,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.477466,0.102095,300.000000,
5.900000,0.000000,17.005706,10.114310,9.328380,30.828575,29.755651,44.720274,33.647128,0.000000,0.161734,0.100888,0.121339,0.229109,0.228029,0.262040,0.073751,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.720274,0.262040,300.000000,
6.000000,0.000000,43.386270,25.964991,23.308632,78.283626,75.484642,113.731721,84.617151,0.000000,0.265291,0.177601,0.222166,0.388356,0.389394,0.447347,0.202454,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.731721,0.447347,300.000000,
6.100000,0.000000,83.424988,50.130687,43.548532,150.132568,145.018590,218.266740,164.242769,0.000000,0.386204,0.257645,0.317127,0.523963,0.513433,0.591982,0.402690,300.000000,300.000000,300.000000,300.000000,222.097283,269.979621,205.879681,288.799712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,218.266740,0.591982,205.879681,
6.200000,0.000000,113.782786,67.071789,58.829924,204.128409,196.683672,296.658725,222.019789,0.000000,0.441948,0.310998,0.382637,0.618588,0.592619,0.698778,0.539775,300.000000,270.573950,300.000000,300.000000,163.630475,199.073942,147.383893,214.467816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.658725,0.698778,147.383893,
6.300000,0.000000,149.494558,87.316238,74.410213,266.286331,256.315405,387.333871,287.761244,0.000000,0.501370,0.362891,0.433724,0.791709,0.673513,0.935297,0.687554,300.000000,205.900164,300.000000,300.000000,125.793070,153.016232,107.866770,164.309529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,387.333871,0.935297,107.866770,
6.400000,0.000000,170.152225,97.198794,82.875893,300.805965,288.461304,437.418257,322.851849,0.000000,0.541251,0.384254,0.449350,0.894435,0.733156,1.066266,0.758596,300.000000,180.870935,300.000000,300.000000,111.567012,135.897002,91.879611,145.296901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,437.418257,1.066266,91.879611,
